name,ring,quadrant,isNew,description
New Relic,Adopt,Platform & Infrastructure,TRUE,
Grafana,Adopt,Platform & Infrastructure,TRUE,
Slack,Adopt,Platform & Infrastructure,TRUE,
Terraform,Adopt,Platform & Infrastructure,TRUE,
Ansible,Adopt,Platform & Infrastructure,TRUE,
Nginx,Adopt,Platform & Infrastructure,TRUE,
Golang,Adopt,Languages & Frameworks,TRUE,
Clean Architecture,Adopt,Languages & Frameworks,TRUE,
Postgres,Adopt,Data Management,FALSE,
Elasticsearch,Adopt,Data Management,FALSE,
Redis,Adopt,Data Management,FALSE,
NSQ,Adopt,Data Management,FALSE,
Clean Architecture,Adopt,Techniques & Tools,FALSE,
